District Number,District Name,District Web Page Address,School Number,School Name
'001902,CAYUGA ISD,www.cayugaisd.com,'001902001,CAYUGA H S
'001902,CAYUGA ISD,www.cayugaisd.com,'001902041,CAYUGA MIDDLE
'001902,CAYUGA ISD,www.cayugaisd.com,'001902103,CAYUGA EL
'001903,ELKHART ISD,www.elkhartisd.org,'001903001,ELKHART H S
'001903,ELKHART ISD,www.elkhartisd.org,'001903002,ELKHART DAEP
'001903,ELKHART ISD,www.elkhartisd.org,'001903041,ELKHART MIDDLE
'001903,ELKHART ISD,www.elkhartisd.org,'001903101,ELKHART EL
'001903,ELKHART ISD,www.elkhartisd.org,'001903102,ELKHART INT
'001904,FRANKSTON ISD,www.frankstonisd.net,'001904001,FRANKSTON H S
'001904,FRANKSTON ISD,www.frankstonisd.net,'001904041,FRANKSTON MIDDLE
'001904,FRANKSTON ISD,www.frankstonisd.net,'001904102,FRANKSTON EL
'001906,NECHES ISD,www.nechesisd.com,'001906002,NECHES H S
'001906,NECHES ISD,www.nechesisd.com,'001906102,NECHES EL
'001907,PALESTINE ISD,www.palestineschools.org,'001907001,PALESTINE H S
'001907,PALESTINE ISD,www.palestineschools.org,'001907041,PALESTINE J H
'001907,PALESTINE ISD,www.palestineschools.org,'001907101,NORTHSIDE PRI
'001907,PALESTINE ISD,www.palestineschools.org,'001907102,WASHINGTON EARLY CHILDHOOD CENTER
'001907,PALESTINE ISD,www.palestineschools.org,'001907107,SOUTHSIDE EL
'001907,PALESTINE ISD,www.palestineschools.org,'001907110,STORY INT
'001908,WESTWOOD ISD,www.westwoodisd.net,'001908002,WESTWOOD H S
'001908,WESTWOOD ISD,www.westwoodisd.net,'001908041,WESTWOOD J H
'001908,WESTWOOD ISD,www.westwoodisd.net,'001908101,WESTWOOD EL
'001908,WESTWOOD ISD,www.westwoodisd.net,'001908102,WESTWOOD PRI
'001909,SLOCUM ISD,www.slocumisd.org/,'001909001,SLOCUM H S
'001909,SLOCUM ISD,www.slocumisd.org/,'001909101,SLOCUM PK - 8
'002901,ANDREWS ISD,www.andrews.esc18.net,'002901001,ANDREWS H S
'002901,ANDREWS ISD,www.andrews.esc18.net,'002901002,ANDREWS EDUCATION CENTER
'002901,ANDREWS ISD,www.andrews.esc18.net,'002901041,ANDREWS MIDDLE
'002901,ANDREWS ISD,www.andrews.esc18.net,'002901101,DEVONIAN EL
'002901,ANDREWS ISD,www.andrews.esc18.net,'002901104,UNDERWOOD EL
'002901,ANDREWS ISD,www.andrews.esc18.net,'002901105,CLEARFORK EL
'003801,PINEYWOODS COMMUNITY ACADEMY,www.pineywoodsacademy.org,'003801001,PINEYWOODS COMMUNITY ACADEMY H S
'003801,PINEYWOODS COMMUNITY ACADEMY,www.pineywoodsacademy.org,'003801042,DR TERRY ROBBINS MIDDLE
'003801,PINEYWOODS COMMUNITY ACADEMY,www.pineywoodsacademy.org,'003801103,SARAH STRINDEN EL
'003902,HUDSON ISD,www.hudsonisd.org,'003902001,HUDSON H S
'003902,HUDSON ISD,www.hudsonisd.org,'003902004,STUBBLEFIELD LRN CTR
'003902,HUDSON ISD,www.hudsonisd.org,'003902041,HUDSON MIDDLE
'003902,HUDSON ISD,www.hudsonisd.org,'003902101,W F PEAVY PRI
'003902,HUDSON ISD,www.hudsonisd.org,'003902102,W H BONNER EL
'003903,LUFKIN ISD,www.lufkinisd.org/,'003903001,LUFKIN H S
'003903,LUFKIN ISD,www.lufkinisd.org/,'003903003,ALTER SCH
'003903,LUFKIN ISD,www.lufkinisd.org/,'003903004,STUBBLEFIELD LRN CTR
'003903,LUFKIN ISD,www.lufkinisd.org/,'003903044,LUFKIN MIDDLE
'003903,LUFKIN ISD,www.lufkinisd.org/,'003903120,ANDERSON EL
'003903,LUFKIN ISD,www.lufkinisd.org/,'003903121,BRANDON EL
'003903,LUFKIN ISD,www.lufkinisd.org/,'003903122,BROOKHOLLOW EL
'003903,LUFKIN ISD,www.lufkinisd.org/,'003903123,COSTON EL
'003903,LUFKIN ISD,www.lufkinisd.org/,'003903124,DUNBAR PRI
'003903,LUFKIN ISD,www.lufkinisd.org/,'003903125,GARRETT PRI
'003903,LUFKIN ISD,www.lufkinisd.org/,'003903126,HACKNEY PRI
'003903,LUFKIN ISD,www.lufkinisd.org/,'003903127,HERTY PRI
'003903,LUFKIN ISD,www.lufkinisd.org/,'003903128,KURTH PRI
'003903,LUFKIN ISD,www.lufkinisd.org/,'003903129,SLACK EL
'003903,LUFKIN ISD,www.lufkinisd.org/,'003903130,TROUT PRI
'003903,LUFKIN ISD,www.lufkinisd.org/,'003903131,BURLEY PRI
'003903,LUFKIN ISD,www.lufkinisd.org/,'003903141,SPECIAL SERVICES
'003903,LUFKIN ISD,www.lufkinisd.org/,'003903201,JUVENILE DETENT CTR
'003904,HUNTINGTON ISD,www.huntingtonisd.com,'003904001,HUNTINGTON H S
'003904,HUNTINGTON ISD,www.huntingtonisd.com,'003904005,PRIDE ALTER SCH
'003904,HUNTINGTON ISD,www.huntingtonisd.com,'003904041,HUNTINGTON MIDDLE
'003904,HUNTINGTON ISD,www.huntingtonisd.com,'003904101,HUNTINGTON EL
'003904,HUNTINGTON ISD,www.huntingtonisd.com,'003904102,HUNTINGTON INT
'003905,DIBOLL ISD,www.dibollisd.com,'003905001,DIBOLL H S
'003905,DIBOLL ISD,www.dibollisd.com,'003905004,STUBBLEFIELD LRN CTR
'003905,DIBOLL ISD,www.dibollisd.com,'003905041,DIBOLL J H
'003905,DIBOLL ISD,www.dibollisd.com,'003905101,H G TEMPLE EL
'003905,DIBOLL ISD,www.dibollisd.com,'003905102,DIBOLL PRI
'003905,DIBOLL ISD,www.dibollisd.com,'003905103,H G TEMPLE INT
'003906,ZAVALLA ISD,www.zavallaisd.org,'003906001,ZAVALLA H S
'003906,ZAVALLA ISD,www.zavallaisd.org,'003906004,STUBBLEFIELD LRN CTR
'003906,ZAVALLA ISD,www.zavallaisd.org,'003906101,ZAVALLA EL
'003907,CENTRAL ISD,www.centralisd.com/,'003907001,CENTRAL H S
'003907,CENTRAL ISD,www.centralisd.com/,'003907004,STUBBLEFIELD LRN CTR
'003907,CENTRAL ISD,www.centralisd.com/,'003907041,CENTRAL J H
'003907,CENTRAL ISD,www.centralisd.com/,'003907102,CENTRAL EL
'004901,ARANSAS COUNTY ISD,www.acisd.org,'004901001,ROCKPORT-FULTON H S
'004901,ARANSAS COUNTY ISD,www.acisd.org,'004901041,ROCKPORT-FULTON MIDDLE
'004901,ARANSAS COUNTY ISD,www.acisd.org,'004901101,FULTON LEARNING CENTER
'004901,ARANSAS COUNTY ISD,www.acisd.org,'004901102,DISCOVERY LEARNING CENTER
'004901,ARANSAS COUNTY ISD,www.acisd.org,'004901103,LIVE OAK LEARNING CENTER
'005901,ARCHER CITY ISD,www.archercityisd.net,'005901001,ARCHER CITY H S
'005901,ARCHER CITY ISD,www.archercityisd.net,'005901101,ARCHER CITY EL
'005902,HOLLIDAY ISD,www.hollidayisd.net,'005902001,HOLLIDAY H S
'005902,HOLLIDAY ISD,www.hollidayisd.net,'005902041,HOLLIDAY MIDDLE
'005902,HOLLIDAY ISD,www.hollidayisd.net,'005902101,HOLLIDAY EL
'005904,WINDTHORST ISD,www.windthorstisd.net,'005904001,WINDTHORST H S
'005904,WINDTHORST ISD,www.windthorstisd.net,'005904041,WINDTHORST JH
'005904,WINDTHORST ISD,www.windthorstisd.net,'005904101,WINDTHORST EL
'006902,CLAUDE ISD,www.claudeisd.net,'006902001,CLAUDE H S
'006902,CLAUDE ISD,www.claudeisd.net,'006902101,CLAUDE EL
'007901,CHARLOTTE ISD,www.charlotteisd.net,'007901001,CHARLOTTE H S
'007901,CHARLOTTE ISD,www.charlotteisd.net,'007901002,ATASCOSA CO ALTER
'007901,CHARLOTTE ISD,www.charlotteisd.net,'007901003,DISTRICT REASSIGNMENT & OPPORTUNITY CENTER
'007901,CHARLOTTE ISD,www.charlotteisd.net,'007901041,CHARLOTTE MIDDLE
'007901,CHARLOTTE ISD,www.charlotteisd.net,'007901101,CHARLOTTE EL
'007902,JOURDANTON ISD,www.jourdantonisd.net,'007902001,JOURDANTON H S
'007902,JOURDANTON ISD,www.jourdantonisd.net,'007902004,THE LARRY BROWN SCHOOL
'007902,JOURDANTON ISD,www.jourdantonisd.net,'007902005,ATASCOSA COUNTY JUVENILE JUSTICE CENTER
'007902,JOURDANTON ISD,www.jourdantonisd.net,'007902006,JOURDANTON DAEP
